CORR	IUF	SV	CORRDV	CORRDVIUF	IUF2	AMPCORR	
0,506	0,501	0,7297	0,5839	0,7473	0,7087	0,4243	
0,5052	0,5002	0,7285	0,5828	0,7461	0,7077	0,4235	
0,5035	0,4995	0,7276	0,5816	0,7453	0,7069	0,4226	
0,5047	0,5006	0,7288	0,5829	0,7465	0,7081	0,4238	
0,5036	0,5003	0,7279	0,5822	0,7456	0,7072	0,4232	
0,503	0,5	0,7282	0,5821	0,7458	0,7074	0,4231	
0,502	0,4994	0,7285	0,5819	0,7459	0,7075	0,4227	
0,5024	0,4998	0,7287	0,5826	0,7463	0,7078	0,4231	
0,5016	0,4991	0,7288	0,5818	0,7462	0,7078	0,4224	
0,5013	0,499	0,7293	0,5817	0,7468	0,7081	0,4221	
