AMPCORR1	AMPCORR2	AMPCORR3	AMPCORR4	AMPCORR5	
0,5518	0,5047	0,4762	0,462	0,4581	
0,5511	0,5041	0,4756	0,4613	0,4573	
0,5496	0,5026	0,4741	0,4599	0,456	
0,5489	0,5021	0,4736	0,4594	0,4555	
0,5493	0,5025	0,4741	0,4599	0,4559	
0,5496	0,5028	0,4744	0,4603	0,4564	
0,5518	0,5049	0,4763	0,4623	0,4584	
0,5525	0,5055	0,4769	0,4629	0,4592	
0,5514	0,5044	0,4758	0,4619	0,4583	
0,5516	0,5047	0,4763	0,4625	0,4589	
0,552	0,505	0,4764	0,4626	0,4589	
0,5519	0,5048	0,4761	0,4621	0,4584	
0,5519	0,5048	0,4761	0,4623	0,4587	
0,5512	0,504	0,4754	0,4615	0,4579	
0,5512	0,5042	0,4756	0,4617	0,4581	
0,5517	0,5047	0,4761	0,4622	0,4584	
0,5507	0,5039	0,4754	0,4616	0,458	
0,5508	0,504	0,4754	0,4616	0,4579	
0,551	0,504	0,4754	0,4615	0,4577	
0,5501	0,5032	0,4746	0,4608	0,4571	
0,5497	0,5029	0,4743	0,4606	0,4569	
0,5503	0,5034	0,4748	0,461	0,4573	
0,5512	0,5043	0,4757	0,4619	0,4581	
0,5524	0,5056	0,477	0,463	0,4591	
0,553	0,5061	0,4775	0,4636	0,4597	
0,553	0,5061	0,4775	0,4636	0,4596	
0,5526	0,5058	0,4773	0,4634	0,4596	
0,5518	0,5052	0,4768	0,463	0,4592	
0,5515	0,505	0,4767	0,4629	0,4591	
0,5518	0,5052	0,4768	0,463	0,4592	
0,5519	0,5052	0,4767	0,4628	0,4589	
0,5521	0,5053	0,4769	0,463	0,4591	
0,5525	0,5056	0,477	0,463	0,459	
0,5522	0,5053	0,4767	0,4627	0,4588	
0,5522	0,5053	0,4766	0,4626	0,4587	
0,5513	0,5044	0,4758	0,4618	0,458	
0,5513	0,5043	0,4757	0,4617	0,4578	
0,5516	0,5047	0,476	0,462	0,458	
0,5513	0,5043	0,4756	0,4616	0,4579	
0,551	0,5039	0,4752	0,4612	0,4574	
0,5497	0,5027	0,4741	0,4602	0,4565	
0,5491	0,5022	0,4736	0,4598	0,456	
0,5488	0,502	0,4735	0,4597	0,4559	
0,5487	0,5018	0,4734	0,4596	0,456	
0,5482	0,5014	0,4729	0,4591	0,4554	
0,5484	0,5016	0,4732	0,4594	0,4557	
0,5488	0,5021	0,4737	0,46	0,4563	
0,5482	0,5014	0,4731	0,4594	0,4557	
0,5483	0,5014	0,4731	0,4593	0,4556	
0,5492	0,5023	0,4738	0,4599	0,4561	
0,5483	0,5015	0,4732	0,4595	0,4558	
0,5478	0,501	0,4727	0,459	0,4553	
0,5465	0,4999	0,4718	0,4582	0,4546	
0,5469	0,5001	0,472	0,4584	0,4548	
0,5465	0,4998	0,4717	0,4582	0,4546	
0,5455	0,4989	0,471	0,4576	0,4542	
0,546	0,4994	0,4716	0,4583	0,4549	
0,5457	0,4991	0,4713	0,458	0,4546	
0,545	0,4986	0,4709	0,4576	0,4542	
0,5444	0,498	0,4703	0,4571	0,4537	
0,544	0,4976	0,47	0,4568	0,4535	
0,5449	0,4984	0,4707	0,4575	0,4541	
0,5447	0,4982	0,4704	0,4571	0,4537	
0,5445	0,498	0,4702	0,457	0,4536	
0,5447	0,4982	0,4705	0,4572	0,4539	
0,5441	0,4977	0,4701	0,457	0,4537	
0,5434	0,4971	0,4697	0,4567	0,4535	
0,5434	0,4972	0,4699	0,457	0,4538	
0,5453	0,4992	0,4719	0,4589	0,4557	
0,5459	0,4998	0,4726	0,4597	0,4565	
0,5459	0,4998	0,4725	0,4596	0,4564	
0,5456	0,4995	0,4723	0,4595	0,4563	
0,5453	0,4993	0,4721	0,4592	0,456	
0,5447	0,4988	0,4717	0,4589	0,4558	
0,544	0,4982	0,4711	0,4584	0,4552	
0,5432	0,4975	0,4705	0,4578	0,4547	
